Sentence,Sentiment,Category
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",Negative,Negative Sentiment
I purcashed this for the car charger and it does not work.,Negative,Technical Issues
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",Positive,Positive Sentiment
This phone is slim and light and the display is beautiful.,Positive,Positive Sentiment
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,Positive,Positive Sentiment
"Great product, fast shipping!.",Positive,Positive Sentiment
Absolutely great.,Positive,Positive Sentiment
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,Positive,Positive Sentiment
i got this phone around the end of may and i'm completely unhappy with it.,Negative,Negative Sentiment
It is very comfortable on the ear.,Positive,Positive Sentiment
It has been a winner for us.,Positive,Positive Sentiment
)Setup couldn't have been simpler.,Positive,Positive Sentiment
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,Positive,Positive Sentiment
Could not get strong enough signal.,Negative,Negative Sentiment
Iam very pleased with my purchase.,Positive,Positive Sentiment
Bad Quality.,Negative,Negative Sentiment
Gets the job done.,Positive,Positive Sentiment
Great audio!.,Positive,Positive Sentiment
Basically the service was very bad.,Negative,Negative Sentiment
it did not work in my cell phone plug i am very up set with the charger!.,Negative,Technical Issues
"I've only had my bluetooth for a few weeks, but I really like it.",Positive,Positive Sentiment
The BT headset was such a disapoinment.,Negative,Negative Sentiment
It is so small and you don't even realize that it is there after a while of getting used to it.,Positive,Positive Sentiment
The accompanied software is almost brilliant.,Positive,Positive Sentiment
Headset works great & was packaged nicely to avoid any damage.,Positive,Positive Sentiment
!I definitly recommend!!,Positive,Positive Sentiment
Buyer--Be Very Careful!!!!!.,Negative,Purchase or Value Concerns
The majority of the Logitech earbud headsets failed.,Negative,Technical Issues
Very good stuff for the price.,Positive,Positive Sentiment
My headset works just peachy-keen.,Positive,Positive Sentiment
In my house I was getting dropped coverage upstairs and no coverage in my basement.,Negative,Negative Sentiment
Voice recognition is tremendous!,Positive,Positive Sentiment
What a waste.,Negative,Purchase or Value Concerns
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",Negative,Negative Sentiment
I was not happy with this item.,Negative,Negative Sentiment
very disappointed.,Negative,Negative Sentiment
The phone takes FOREVER to charge like 2 to 5 hours literally.,Negative,Technical Issues
I got this phone on reccomendation from a relative and I'm glad I did.,Positive,Positive Sentiment
What a waste of time!,Negative,Purchase or Value Concerns
Its reception is very very poor.,Negative,Negative Sentiment
Items stated as included from the description ARE NOT INCLUDED.,Negative,Negative Sentiment
"After 3 months, screen just went black all of a sudden.",Negative,Negative Sentiment
I Was Hoping for More.,Negative,Negative Sentiment
"Audio Quality is poor, very poor.",Negative,Negative Sentiment
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,Positive,Positive Sentiment
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",Positive,Positive Sentiment
I've bought $5 wired headphones that sound better than these.,Negative,Technical Issues
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,Positive,Positive Sentiment
"Nice quality build, unlike some cheap s*** out there.",Positive,Positive Sentiment
This item is fantastic and works perfectly!,Positive,Positive Sentiment
And I just love the colors!,Positive,Positive Sentiment
W810i is just SUPERB.,Positive,Positive Sentiment
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",Negative,Negative Sentiment
Great charger.,Positive,Positive Sentiment
This is essentially a communications tool that does not communicate.,Negative,Negative Sentiment
Works like a charm; it work the same as the one I got with the phone.,Positive,Positive Sentiment
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",Negative,Negative Sentiment
Great Value.,Positive,Positive Sentiment
Doesn't work at all.. I bougth it for my L7c and its not working.,Negative,Technical Issues
"The look of it is very sharp and the screen is nice and clear, with great graphics.",Positive,Positive Sentiment
doesn't last long.,Negative,Technical Issues
One thing I hate is the mode set button at the side.,Negative,Negative Sentiment
EXCELLENT SERVICE!!!!!!!!.,Positive,Positive Sentiment
Thank you for wasting my money.,Negative,Purchase or Value Concerns
How can that be?The audio quality is poor.,Negative,Negative Sentiment
The iGo chargers and tips are really great.,Positive,Positive Sentiment
The file browser offers all the options that one needs.Handsfree is great.,Positive,Positive Sentiment
Superb Phone on a Great Network.,Positive,Positive Sentiment
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",Positive,Positive Sentiment
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",Negative,Negative Sentiment
It only recognizes the Phone as its storage device.,Negative,Negative Sentiment
"If you like a loud buzzing to override all your conversations, then this phone is for you!",Negative,Negative Sentiment
Don't buy this product.,Negative,Purchase or Value Concerns
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,Negative,Negative Sentiment
The sound quality is good and functionality is awesome.,Positive,Positive Sentiment
"I have this phone and it is a thorn in my side, I really abhor it.",Negative,Negative Sentiment
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,Negative,Technical Issues
Incredible!.,Positive,Positive Sentiment
Design Flaw?.,Negative,Negative Sentiment
Great phone!.,Positive,Positive Sentiment
Waste of 13 bucks.,Negative,Purchase or Value Concerns
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",Negative,Negative Sentiment
The replacement died in a few weeks.,Negative,Negative Sentiment
Any ring tone..Overall good phone to buy..,Positive,Positive Sentiment
Lately they have been extremely nice and helpful on the phone.,Positive,Positive Sentiment
I have had problems wit hit dropping signal and more.,Negative,Technical Issues
Not impressed.,Negative,Negative Sentiment
"Light weight, I hardly notice it is there.",Positive,Positive Sentiment
You'll love how thin it is.,Positive,Positive Sentiment
Bad Choice.,Negative,Negative Sentiment
The pleather case doesn't fit.,Negative,Technical Issues
"useless phone, simply deaf.",Negative,Negative Sentiment
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",Positive,Positive Sentiment
All in all I think it was a good investment.,Positive,Positive Sentiment
It makes very strange ticking noises before it ends the call.,Negative,Negative Sentiment
The best electronics of the available FM Transmitters.,Positive,Positive Sentiment
Battery lasts only a few hours.,Negative,Technical Issues
"great headset, very impressed - H500.",Positive,Positive Sentiment
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",Positive,Positive Sentiment
I've had this for nearly 2 years and it has worked great for me.,Positive,Positive Sentiment
Good transmit audio.,Positive,Positive Sentiment
We are sending it back.,Negative,Negative Sentiment
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,Negative,Negative Sentiment
"If you hate earbugs, avoid this phone by all means.",Negative,Negative Sentiment
Great price also!,Positive,Positive Sentiment
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",Positive,Positive Sentiment
fast service.,Positive,Positive Sentiment
I would highly recommend this.,Positive,Positive Sentiment
I would recommend this.,Positive,Positive Sentiment
"I also didn't like the ""on"" button, it felt like it would crack with use.",Negative,Negative Sentiment
WORST PHONE EVER.,Negative,Negative Sentiment
I'm still infatuated with this phone.,Positive,Positive Sentiment
Freezes frequently4.,Negative,Negative Sentiment
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,Negative,Negative Sentiment
"Simple, lightweight and great fit.",Positive,Positive Sentiment
"All in all, I'd expected a better consumer experience from Motorola.",Negative,Negative Sentiment
There's a horrible tick sound in the background on all my calls that I have never experienced before.,Negative,Technical Issues
These are certainly very comfortable and functionality is decent.,Positive,Positive Sentiment
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,Positive,Positive Sentiment
I'm a bit disappointed.,Negative,Negative Sentiment
"I have had this phone for over a year now, and I will tell you, its not that great.",Negative,Negative Sentiment
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,Negative,Negative Sentiment
The battery is completely useless to me.,Negative,Technical Issues
What a big waste of time.,Negative,Purchase or Value Concerns
Don't waste your $$$ on this one.,Negative,Purchase or Value Concerns
Great sound and service.,Positive,Positive Sentiment
Really pleased with this product so far.,Positive,Positive Sentiment
One of my favorite purchases ever.,Positive,Positive Sentiment
best bluetooth on the market.,Positive,Positive Sentiment
Authentic leather with nice shine and comfort .I recommend you this case !!,Positive,Positive Sentiment
I was very excited to get this headset because I thought it was really cute.,Positive,Positive Sentiment
Do not make the same mistake as me.,Negative,Negative Sentiment
Big Disappointment with calendar sync.,Negative,Negative Sentiment
the phone was unusable and was not new.,Negative,Negative Sentiment
Worst Customer Service Ever.,Negative,Negative Sentiment
"No additional ear gels provided, and no instructions whatsoever.",Negative,Negative Sentiment
It defeats the purpose of a bluetooth headset.,Negative,Negative Sentiment
Worth every penny.,Positive,Positive Sentiment
Excellent wallet type phone case.,Positive,Positive Sentiment
Nice headphones for the price and they work great!,Positive,Positive Sentiment
Internet is excrutiatingly slow.,Negative,Negative Sentiment
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",Positive,Positive Sentiment
"It's fits like a glove and is strong, secure, and durable.",Positive,Positive Sentiment
O my gosh the best phone I have ever had.,Positive,Positive Sentiment
It's very attractive and appears to be of good quality.,Positive,Positive Sentiment
I love all the features and form factor.,Positive,Positive Sentiment
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,Negative,Purchase or Value Concerns
poor quality and service.,Negative,Negative Sentiment
"The cable looks so thin and flimsy, it is scary.",Negative,Negative Sentiment
Great Earpiece.,Positive,Positive Sentiment
Excellent hands free tool.,Positive,Positive Sentiment
Great for using with your home stereo.,Positive,Positive Sentiment
Good product - incredible value.,Positive,Positive Sentiment
Only had this a month but it's worked flawlessly so far.,Positive,Positive Sentiment
Works great.,Positive,Positive Sentiment
Absolutel junk.,Negative,Negative Sentiment
THAT one didn't work either.,Negative,Negative Sentiment
Battery life is real good.,Positive,Positive Sentiment
Returned 8 hours later.,Negative,Purchase or Value Concerns
It's a great item.,Positive,Positive Sentiment
Don't waste your money!.,Negative,Purchase or Value Concerns
Love this headset!,Positive,Positive Sentiment
"Not only will it drain your player, but may also potentially fry it.",Negative,Negative Sentiment
Worked perfectly!,Positive,Positive Sentiment
Unreliable - I'm giving up.,Negative,Negative Sentiment
I gave it 5 stars because of the sound quality.,Positive,Positive Sentiment
Avoid this one if you can.,Negative,Negative Sentiment
Reversible plug works great.,Positive,Positive Sentiment
I wasted my little money with this earpiece.,Negative,Purchase or Value Concerns
Very good phone.,Positive,Positive Sentiment
"Best of all is the rotating feature, very helpful.",Positive,Positive Sentiment
Comfort for our whole family.,Positive,Positive Sentiment
"Good product, good seller.",Positive,Positive Sentiment
I love this bluetooth!,Positive,Positive Sentiment
"First of all, it doesn't wear well.",Negative,Technical Issues
I am very impressed with this headset from Plantronics.,Positive,Positive Sentiment
I got it because it was so small and adorable.,Positive,Positive Sentiment
Great phone!.,Positive,Positive Sentiment
I wouldn't recommend buying this product.,Negative,Purchase or Value Concerns
Piece of Junk.,Negative,Negative Sentiment
Poorly contstruct hinge.,Negative,Negative Sentiment
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",Positive,Positive Sentiment
Great Phone.,Positive,Positive Sentiment
Don't buy it.,Negative,Purchase or Value Concerns
Excellent Phone.,Positive,Positive Sentiment
DO NOT PURCHASE THIS PHONE.,Negative,Purchase or Value Concerns
The voice recognition thru the handset is excellent.,Positive,Positive Sentiment
This is hands down the best phone I've ever had.,Positive,Positive Sentiment
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",Positive,Positive Sentiment
This one works and was priced right.,Positive,Positive Sentiment
Customer service was terrible.,Negative,Negative Sentiment
Battery life still not long enough in Motorola Razor V3i.,Negative,Technical Issues
Sending it back.,Negative,Negative Sentiment
Now I know that I made a wise decision.,Positive,Positive Sentiment
Someone shouldve invented this sooner.,Positive,Positive Sentiment
Good price.,Positive,Positive Sentiment
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,Positive,Positive Sentiment
I received it quickly and it works great!!,Positive,Positive Sentiment
Has been working great.,Positive,Positive Sentiment
"As many people complained, I found this headset's microphone was very weak.",Negative,Negative Sentiment
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,Negative,Technical Issues
They do not care about the consumer one bit.,Negative,Negative Sentiment
"This is a good battery, and it got here really fast.",Positive,Positive Sentiment
The instruction manual is lacking.,Negative,Negative Sentiment
Also its slim enough to fit into my alarm clock docking station without removing the case.,Positive,Positive Sentiment
Phone now holds charge like it did when it was new.,Positive,Positive Sentiment
The battery is unreliable as well as the service use antena.,Negative,Technical Issues
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,Negative,Technical Issues
We have gotten a lot of compliments on it.,Positive,Positive Sentiment
This is definitely a must have if your state does not allow cell phone usage while driving.,Positive,Positive Sentiment
I want my money back.,Negative,Purchase or Value Concerns
I love this device.,Positive,Positive Sentiment
I am also very happy with the price.,Positive,Positive Sentiment
I ordered this product first and was unhappy with it immediately.,Negative,Negative Sentiment
The Ngage is still lacking in earbuds.,Negative,Negative Sentiment
I was able to do voice dialing in the car with no problem.,Positive,Positive Sentiment
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",Negative,Negative Sentiment
"good item, low price.",Positive,Positive Sentiment
"However-the riingtones are not the best, and neither are the games.",Negative,Negative Sentiment
The plug did not work very well.,Negative,Technical Issues
AMAZON SUCKS.,Negative,Negative Sentiment
Rip off---- Over charge shipping.,Negative,Technical Issues
VERY comfortable.,Positive,Positive Sentiment
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,Positive,Positive Sentiment
The reception is excellent!,Positive,Positive Sentiment
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",Positive,Positive Sentiment
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",Positive,Positive Sentiment
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,Negative,Technical Issues
Obviously there is a problem with the adhesive.,Negative,Technical Issues
Very disappointing.,Negative,Negative Sentiment
"It was an inexpensive piece, but I would still have expected better quality.",Negative,Purchase or Value Concerns
It is practically useless and did not add any kind of boost to my reception after I bought it.,Negative,Negative Sentiment
Excellent sound quality.,Positive,Positive Sentiment
Was not happy.,Negative,Negative Sentiment
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,Negative,Negative Sentiment
New Battery works great in phone.,Positive,Positive Sentiment
Worst customer service.,Negative,Negative Sentiment
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",Positive,Positive Sentiment
Reception is terrible and full of static.,Negative,Technical Issues
Good audio quality.,Positive,Positive Sentiment
This little device has transformed my organizational capability and made my life a whole lot easier.,Positive,Positive Sentiment
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",Negative,Negative Sentiment
Were JERKS on the phone.,Negative,Negative Sentiment
Works like a charm.. Works as advertised.,Positive,Positive Sentiment
"Comfortable, Nice Range, Good Battery Life.",Positive,Positive Sentiment
Their network coverage in Los Angeles is horrible.,Negative,Negative Sentiment
Excellent starter wireless headset.,Negative,Negative Sentiment
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",Negative,Negative Sentiment
The only thing that I think could improve is the sound leaks out from the headset.,Negative,Technical Issues
"First off the reception sucks, I have never had more than 2 bars, ever.",Negative,Negative Sentiment
The phone gets EXTREMELY HOT!,Negative,Negative Sentiment
"The microphone also works well, but (according to people I have called) it applifies everything.",Positive,Positive Sentiment
Nice design and quality.,Positive,Positive Sentiment
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",Negative,Negative Sentiment
"It is light, easy to use, and has very clear reception and transmission.",Positive,Positive Sentiment
"bad fit, way too big.",Negative,Negative Sentiment
It definitely was not as good as my S11.,Positive,Positive Sentiment
awesome device.,Positive,Positive Sentiment
Waste of money.,Negative,Purchase or Value Concerns
"I had ordered a motorola data cable, got a very well finished and working product.",Positive,Positive Sentiment
Love This Phone.,Positive,Positive Sentiment
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,Positive,Positive Sentiment
"I'll be drivng along, and my headset starts ringing for no reason.",Negative,Negative Sentiment
Display is excellent and camera is as good as any from that year.,Positive,Positive Sentiment
Battery life is also great!,Positive,Positive Sentiment
The worst phone I've ever had.... Only had it for a few months.,Negative,Negative Sentiment
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,Negative,Technical Issues
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,Negative,Technical Issues
Protects the phone on all sides.,Positive,Positive Sentiment
This is a VERY average phone with bad battery life that operates on a weak network.,Negative,Technical Issues
"Clear Skype Calls, Long Battery Life, Long Range.",Positive,Positive Sentiment
Soyo technology sucks.,Negative,Negative Sentiment
Great Hands Free Device.,Positive,Positive Sentiment
"you can even take self portraits with the outside (exterior) display, very cool.",Positive,Positive Sentiment
Same problem as others have mentioned.,Negative,Technical Issues
After trying many many handsfree gadgets this is the one that finally works well.,Positive,Positive Sentiment
Magical Help.,Positive,Positive Sentiment
The worst piece of crap ever along with the Verizon customer service.,Negative,Negative Sentiment
Poor sound quality.,Negative,Technical Issues
The best phone in market :).,Positive,Positive Sentiment
It worked very well.,Positive,Positive Sentiment
The company shipped my product very promptly and it works well.,Positive,Positive Sentiment
Exactly what I wanted.,Positive,Positive Sentiment
The picture resolution is far below what other comparably-priced phones are offering today.,Negative,Purchase or Value Concerns
This is a great deal.,Positive,Positive Sentiment
"Excellent product, I am very satisfied with the purchase.",Positive,Positive Sentiment
I highly recommend these and encourage people to give them a try.,Positive,Positive Sentiment
Better than you'd expect.,Positive,Positive Sentiment
"Using all earpieces, left or right, this thing will not stay on my ear.",Negative,Negative Sentiment
Great product and price.,Positive,Positive Sentiment
"Sounds good reasonably priced and effective, Its that simple !",Positive,Positive Sentiment
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,Negative,Negative Sentiment
what a disappointment,Negative,Negative Sentiment
Very prompt service.,Positive,Positive Sentiment
Excellent product for the price.,Positive,Positive Sentiment
Very pleased with this headset.,Positive,Positive Sentiment
don't waste your money and time.,Negative,Purchase or Value Concerns
I especially love the long battery life.,Positive,Positive Sentiment
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",Negative,Technical Issues
Works great.,Positive,Positive Sentiment
Plantronics Bluetooth Excelent Buy.,Positive,Positive Sentiment
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,Negative,Negative Sentiment
I'll be looking for a new earpiece.,Negative,Negative Sentiment
I highly recommend this device to everyone!,Positive,Positive Sentiment
Jawbone Era is awesome too!,Positive,Positive Sentiment
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,Negative,Technical Issues
After a year the battery went completely dead on my headset.,Negative,Technical Issues
"I have used several phone in two years, but this one is the best.",Positive,Positive Sentiment
An Awesome New Look For Fall 2000!.,Positive,Positive Sentiment
This is the first phone I've had that has been so cheaply made.,Negative,Negative Sentiment
"Att is not clear, sound is very distorted and you have to yell when you talk.",Negative,Technical Issues
The plastic breaks really easy on this clip.,Negative,Negative Sentiment
Price is good too.,Positive,Positive Sentiment
Don't make the same mistake I did.,Negative,Negative Sentiment
Oh and I forgot to also mention the weird color effect it has on your phone.,Negative,Negative Sentiment
I'm using it with an iriver SPINN (with case) and it fits fine.,Positive,Positive Sentiment
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,Negative,Negative Sentiment
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",Positive,Positive Sentiment
"every thing on phone work perfectly, she like it.",Positive,Positive Sentiment
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",Negative,Negative Sentiment
IT'S REALLY EASY.,Positive,Positive Sentiment
My Sanyo has survived dozens of drops on blacktop without ill effect.,Positive,Positive Sentiment
Fantastic earphones.,Positive,Positive Sentiment
It finds my cell phone right away when I enter the car.,Positive,Positive Sentiment
Low Quality.,Negative,Negative Sentiment
I highly recommend this modest priced cellular phone.,Positive,Positive Sentiment
But it does get better reception and clarity than any phone I've had before.,Positive,Positive Sentiment
Warning - Stay away.,Negative,Negative Sentiment
I wish I could return the unit and get back my money.,Negative,Purchase or Value Concerns
Awsome Device Works Great!!.,Positive,Positive Sentiment
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,Negative,Technical Issues
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",Negative,Negative Sentiment
Very Displeased.,Negative,Negative Sentiment
