Sentence,Sentiment,Category,sentiment_label,category_label
Same problem as others have mentioned.,Negative,Technical Issues,0,0
In my house I was getting dropped coverage upstairs and no coverage in my basement.,Negative,Negative Sentiment,0,2
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,Negative,Technical Issues,0,0
Bad Purchase.,Negative,Purchase or Value Concerns,0,3
A pretty good product.,Positive,Positive Sentiment,1,1
It's a great item.,Positive,Positive Sentiment,1,1
Don't buy this product - It fails!.,Negative,Technical Issues,0,0
(It works!),Positive,Positive Sentiment,1,1
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,Negative,Technical Issues,0,0
Due to this happening on every call I was forced to stop using this headset.,Negative,Negative Sentiment,0,2
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,Positive,Positive Sentiment,1,1
"Best of all is the rotating feature, very helpful.",Positive,Positive Sentiment,1,1
Now I know that I made a wise decision.,Positive,Positive Sentiment,1,1
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",Positive,Positive Sentiment,1,1
This case seems well made.,Positive,Positive Sentiment,1,1
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,Positive,Positive Sentiment,1,1
I can't use this case because the smell is disgusting.,Negative,Negative Sentiment,0,2
Gets the job done.,Positive,Positive Sentiment,1,1
This is a great little item.,Positive,Positive Sentiment,1,1
Chinese Forgeries Abound!.,Negative,Negative Sentiment,0,2
You'll love how thin it is.,Positive,Positive Sentiment,1,1
The volume switch rocketed out of the unit to a destination unknown.,Negative,Technical Issues,0,0
Doesn't do the job.,Negative,Technical Issues,0,0
Waste of money.,Negative,Purchase or Value Concerns,0,3
Worked perfectly!,Positive,Positive Sentiment,1,1
!I definitly recommend!!,Positive,Positive Sentiment,1,1
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",Negative,Negative Sentiment,0,2
Excellent bluetooth headset.,Positive,Positive Sentiment,1,1
Disappointing accessory from a good manufacturer.,Negative,Negative Sentiment,0,2
"I love the camera, it's really pretty good quality.",Positive,Positive Sentiment,1,1
none of the new ones have ever quite worked properly.,Negative,Negative Sentiment,0,2
Do not make the same mistake as me.,Negative,Negative Sentiment,0,2
Stay Away From the Q!.,Negative,Negative Sentiment,0,2
The iGo chargers and tips are really great.,Positive,Positive Sentiment,1,1
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",Negative,Technical Issues,0,0
This company charge me a restocking fee and still not given me my refund back.,Negative,Technical Issues,0,0
Not as good as I had hoped.,Negative,Negative Sentiment,0,2
VERY comfortable.,Positive,Positive Sentiment,1,1
Buyer--Be Very Careful!!!!!.,Negative,Purchase or Value Concerns,0,3
Don't waste your $$$ on this one.,Negative,Purchase or Value Concerns,0,3
Piece of Junk.,Negative,Negative Sentiment,0,2
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",Negative,Negative Sentiment,0,2
Buttons are too small.,Negative,Negative Sentiment,0,2
Used and dirty.,Negative,Negative Sentiment,0,2
Kind of flops around.,Negative,Negative Sentiment,0,2
This is a great deal.,Positive,Positive Sentiment,1,1
"Nice case, feels good in your hands.",Positive,Positive Sentiment,1,1
But it does get better reception and clarity than any phone I've had before.,Positive,Positive Sentiment,1,1
DO NOT BUY DO NOT BUYIT SUCKS,Negative,Purchase or Value Concerns,0,3
The battery runs down quickly.,Negative,Technical Issues,0,0
I'll be looking for a new earpiece.,Negative,Negative Sentiment,0,2
Battery is terrible.,Negative,Technical Issues,0,0
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",Negative,Negative Sentiment,0,2
Linksys should have some way to exchange a bad phone for a refurb unit or something!,Negative,Negative Sentiment,0,2
"This is a good battery, and it got here really fast.",Positive,Positive Sentiment,1,1
It didn't charge for me.,Negative,Technical Issues,0,0
Battery is holding up well.,Positive,Positive Sentiment,1,1
Better than you'd expect.,Positive,Positive Sentiment,1,1
Would recommend this item.,Positive,Positive Sentiment,1,1
SWEETEST PHONE!!!,Positive,Positive Sentiment,1,1
Echo Problem....Very unsatisfactory,Negative,Technical Issues,0,0
The only thing that I think could improve is the sound leaks out from the headset.,Negative,Technical Issues,0,0
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",Positive,Positive Sentiment,1,1
Rip off---- Over charge shipping.,Negative,Technical Issues,0,0
"There was so much hype over this phone that I assumed it was the best, my mistake.",Negative,Negative Sentiment,0,2
Excellent hands free tool.,Positive,Positive Sentiment,1,1
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,Negative,Negative Sentiment,0,2
Who in their right mind is gonna buy this battery?.,Negative,Technical Issues,0,0
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",Negative,Technical Issues,0,0
Never got it!!!!!,Negative,Negative Sentiment,0,2
The only good thing was that it fits comfortably on small ears.,Positive,Positive Sentiment,1,1
Yet Plantronincs continues to use the same flawed charger design.,Negative,Technical Issues,0,0
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",Positive,Positive Sentiment,1,1
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",Negative,Negative Sentiment,0,2
AFter the first charge kept going dead after 12 minutes.,Negative,Technical Issues,0,0
Bad Choice.,Negative,Negative Sentiment,0,2
Nice headset priced right.,Positive,Positive Sentiment,1,1
Motorola finally got the voice quality of a bluetooth headset right.,Positive,Positive Sentiment,1,1
Poor quality.,Negative,Negative Sentiment,0,2
"As many people complained, I found this headset's microphone was very weak.",Negative,Negative Sentiment,0,2
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,Negative,Technical Issues,0,0
Not good when wearing a hat or sunglasses.,Negative,Negative Sentiment,0,2
"This is a simple little phone to use, but the breakage is unacceptible.",Negative,Negative Sentiment,0,2
Battery life still not long enough in Motorola Razor V3i.,Negative,Technical Issues,0,0
"The real killer is the volume, and of course it breaking.",Negative,Technical Issues,0,0
Oh and I forgot to also mention the weird color effect it has on your phone.,Negative,Negative Sentiment,0,2
"If you like a loud buzzing to override all your conversations, then this phone is for you!",Negative,Negative Sentiment,0,2
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",Negative,Technical Issues,0,0
Buy a different phone - but not this.,Negative,Purchase or Value Concerns,0,3
The sound quality is excellent as well.,Positive,Positive Sentiment,1,1
I would not recommend this item to anyone.,Negative,Negative Sentiment,0,2
The nokia CA-42 USB cable did not work with my phone.,Negative,Technical Issues,0,0
I don't like this Nokia either.,Negative,Negative Sentiment,0,2
Lousy product.,Negative,Negative Sentiment,0,2
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",Negative,Negative Sentiment,0,2
lightweight and works well.,Positive,Positive Sentiment,1,1
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,Negative,Technical Issues,0,0
Good price.,Positive,Positive Sentiment,1,1
None of the three sizes they sent with the headset would stay in my ears.,Negative,Negative Sentiment,0,2
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,Negative,Negative Sentiment,0,2
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",Negative,Negative Sentiment,0,2
Improper description.... I had to return it.,Negative,Purchase or Value Concerns,0,3
"bad fit, way too big.",Negative,Negative Sentiment,0,2
"VERY cheap plastic, creaks like an old wooden floor.",Negative,Negative Sentiment,0,2
Defective crap.,Negative,Negative Sentiment,0,2
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",Positive,Positive Sentiment,1,1
What a waste.,Negative,Purchase or Value Concerns,0,3
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,Negative,Technical Issues,0,0
"I've only had my bluetooth for a few weeks, but I really like it.",Positive,Positive Sentiment,1,1
"Sounds good reasonably priced and effective, Its that simple !",Positive,Positive Sentiment,1,1
Not impressed.,Negative,Negative Sentiment,0,2
The text messaging feature is really tricky to use.,Negative,Negative Sentiment,0,2
The ear buds only play music in one ear.,Negative,Negative Sentiment,0,2
An Awesome New Look For Fall 2000!.,Positive,Positive Sentiment,1,1
Very well made and fits my Surefire GX2 perfectly.,Positive,Positive Sentiment,1,1
It does everything the description said it would.,Positive,Positive Sentiment,1,1
Good transmit audio.,Positive,Positive Sentiment,1,1
Very good quality though,Positive,Positive Sentiment,1,1
Its not user friendly.,Negative,Negative Sentiment,0,2
"However-the riingtones are not the best, and neither are the games.",Negative,Negative Sentiment,0,2
"The mic there is a joke, and the volume is quite low.",Negative,Technical Issues,0,0
Were JERKS on the phone.,Negative,Negative Sentiment,0,2
Doesn't Work.,Negative,Technical Issues,0,0
you could only take 2 videos at a time and the quality was very poor.,Negative,Negative Sentiment,0,2
It was a great phone.,Positive,Positive Sentiment,1,1
Magical Help.,Positive,Positive Sentiment,1,1
Comfort for our whole family.,Positive,Positive Sentiment,1,1
Keep up the good work Amazon!!,Positive,Positive Sentiment,1,1
Only had this a month but it's worked flawlessly so far.,Positive,Positive Sentiment,1,1
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,Negative,Negative Sentiment,0,2
Lasted one day and then blew up.,Negative,Negative Sentiment,0,2
THAT one didn't work either.,Negative,Negative Sentiment,0,2
"Nice quality build, unlike some cheap s*** out there.",Positive,Positive Sentiment,1,1
Much less than the jawbone I was going to replace it with.,Positive,Positive Sentiment,1,1
Don't bother - go to the store.,Negative,Negative Sentiment,0,2
its extremely slow and takes forever to do anything with it.,Negative,Negative Sentiment,0,2
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",Positive,Positive Sentiment,1,1
I am also very happy with the price.,Positive,Positive Sentiment,1,1
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,Negative,Technical Issues,0,0
Don't buy this product.,Negative,Purchase or Value Concerns,0,3
[...] down the drain because of a weak snap!,Negative,Negative Sentiment,0,2
The phone takes FOREVER to charge like 2 to 5 hours literally.,Negative,Technical Issues,0,0
"Terrible product, and waste of money!",Negative,Purchase or Value Concerns,0,3
"Excellent product, I am very satisfied with the purchase.",Positive,Positive Sentiment,1,1
I love this phone!.,Positive,Positive Sentiment,1,1
I bought two of them and neither will charge.,Negative,Technical Issues,0,0
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,Positive,Positive Sentiment,1,1
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,Positive,Positive Sentiment,1,1
After trying many many handsfree gadgets this is the one that finally works well.,Positive,Positive Sentiment,1,1
"good item, low price.",Positive,Positive Sentiment,1,1
New Battery works great in phone.,Positive,Positive Sentiment,1,1
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",Negative,Negative Sentiment,0,2
The best electronics of the available FM Transmitters.,Positive,Positive Sentiment,1,1
The worst piece of crap ever along with the Verizon customer service.,Negative,Negative Sentiment,0,2
"every thing on phone work perfectly, she like it.",Positive,Positive Sentiment,1,1
Works great.,Positive,Positive Sentiment,1,1
It's very attractive and appears to be of good quality.,Positive,Positive Sentiment,1,1
It has all the features I want,Positive,Positive Sentiment,1,1
The picture resolution is far below what other comparably-priced phones are offering today.,Negative,Purchase or Value Concerns,0,3
Battery life is also great!,Positive,Positive Sentiment,1,1
)Setup couldn't have been simpler.,Positive,Positive Sentiment,1,1
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",Positive,Positive Sentiment,1,1
Worst Customer Service Ever.,Negative,Negative Sentiment,0,2
I bought it for my mother and she had a problem with the battery.,Negative,Technical Issues,0,0
The mic is great.,Positive,Positive Sentiment,1,1
Disappointed with battery.,Negative,Technical Issues,0,0
Very happy with this product.,Positive,Positive Sentiment,1,1
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",Positive,Positive Sentiment,1,1
Poor Construction.,Negative,Negative Sentiment,0,2
I have two more years left in this contract and I hate this phone.,Negative,Negative Sentiment,0,2
"Not only will it drain your player, but may also potentially fry it.",Negative,Negative Sentiment,0,2
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",Positive,Positive Sentiment,1,1
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,Negative,Negative Sentiment,0,2
Great phone!.,Positive,Positive Sentiment,1,1
My sister has one also and she loves it.,Positive,Positive Sentiment,1,1
Product was excellent and works better than the verizon one and Boy was it cheaper!,Positive,Positive Sentiment,1,1
Fantastic buy and will get again for whatever my next phone is,Positive,Positive Sentiment,1,1
Waste of 13 bucks.,Negative,Purchase or Value Concerns,0,3
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",Positive,Positive Sentiment,1,1
Worst customer service.,Negative,Negative Sentiment,0,2
Beautiful styling though.,Positive,Positive Sentiment,1,1
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",Negative,Negative Sentiment,0,2
what a disappointment,Negative,Negative Sentiment,0,2
disappointing.,Negative,Negative Sentiment,0,2
Great Value.,Positive,Positive Sentiment,1,1
The item received was Counterfeit.,Negative,Negative Sentiment,0,2
Good product - incredible value.,Positive,Positive Sentiment,1,1
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",Positive,Positive Sentiment,1,1
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,Negative,Purchase or Value Concerns,0,3
Not good enough for the price.,Negative,Purchase or Value Concerns,0,3
Great sound and service.,Positive,Positive Sentiment,1,1
Awsome Device Works Great!!.,Positive,Positive Sentiment,1,1
"I have only had it for a few weeks, but so far, so good.",Positive,Positive Sentiment,1,1
THey are so cool!,Positive,Positive Sentiment,1,1
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,Positive,Positive Sentiment,1,1
The reception is excellent!,Positive,Positive Sentiment,1,1
I am going to have to be the first to negatively review this product.,Negative,Negative Sentiment,0,2
Not a good bargain.,Negative,Negative Sentiment,0,2
The plastic breaks really easy on this clip.,Negative,Negative Sentiment,0,2
Virgin Wireless rocks and so does this cheap little phone!,Positive,Positive Sentiment,1,1
The noise shield is incrediable.,Positive,Positive Sentiment,1,1
"This item worked great, but it broke after 6 months of use.",Negative,Negative Sentiment,0,2
Not worth it.,Negative,Negative Sentiment,0,2
"All in all, I'm quite satisfied with this purchase.",Positive,Positive Sentiment,1,1
good protection and does not make phone too bulky.,Positive,Positive Sentiment,1,1
Reversible plug works great.,Positive,Positive Sentiment,1,1
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",Negative,Technical Issues,0,0
I bought this phone as a replacement for my StarTac and have regretted it since.,Negative,Negative Sentiment,0,2
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,Negative,Negative Sentiment,0,2
Please dont waste your money.,Negative,Purchase or Value Concerns,0,3
"It felt too light and ""tinny."".",Negative,Negative Sentiment,0,2
Crisp and Clear.,Positive,Positive Sentiment,1,1
"Great price, too!",Positive,Positive Sentiment,1,1
The phone crashed completely and now I have to get it replaced.,Negative,Negative Sentiment,0,2
WELL IM SATISFIED.,Positive,Positive Sentiment,1,1
Poorly contstruct hinge.,Negative,Negative Sentiment,0,2
Nice Sound.,Positive,Positive Sentiment,1,1
I got this phone on reccomendation from a relative and I'm glad I did.,Positive,Positive Sentiment,1,1
